1,2,3
4.474474474474474661e+00,-1.943663179205718627e+00,-5.000000000000000000e+00
4.504504504504504681e+00,-1.956939455563385444e+00,-5.000000000000000000e+00
4.534534534534534700e+00,-1.968451091248358598e+00,-5.000000000000000000e+00
4.564564564564564719e+00,-1.978187705816582653e+00,-5.000000000000000000e+00
4.594594594594594739e+00,-1.986140519422552986e+00,-5.000000000000000000e+00
4.624624624624624758e+00,-1.992302360736409650e+00,-5.000000000000000000e+00
4.654654654654654777e+00,-1.996667673410576604e+00,-5.000000000000000000e+00
4.684684684684684797e+00,-1.999232521090113401e+00,-5.000000000000000000e+00
4.714714714714714816e+00,-1.999994590962264285e+00,-5.000000000000000000e+00
4.744744744744744835e+00,-1.998953195842002817e+00,-5.000000000000000000e+00
4.774774774774774855e+00,-1.996109274791690202e+00,-5.000000000000000000e+00
4.804804804804804874e+00,-1.991465392274289758e+00,-5.000000000000000000e+00
4.834834834834834894e+00,-1.985025735840900918e+00,-5.000000000000000000e+00
4.864864864864864913e+00,-1.976796112354699320e+00,-5.000000000000000000e+00
4.894894894894894932e+00,-1.966783942754683601e+00,-5.000000000000000000e+00
4.924924924924924952e+00,-1.954998255363957327e+00,-5.000000000000000000e+00
4.954954954954954971e+00,-1.941449677748573244e+00,-5.000000000000000000e+00
4.984984984984984990e+00,-1.926150427134285970e+00,-5.000000000000000000e+00
5.015015015015015010e+00,-1.909114299389853553e+00,-5.000000000000000000e+00
5.045045045045045029e+00,-1.890356656586819284e+00,-5.000000000000000000e+00
5.075075075075075048e+00,-1.869894413146996559e+00,-5.000000000000000000e+00
5.105105105105105068e+00,-1.847746020590142590e+00,-5.000000000000000000e+00
5.135135135135135087e+00,-1.823931450895579509e+00,-5.000000000000000000e+00
5.165165165165165106e+00,-1.798472178492761753e+00,-5.000000000000000000e+00
5.195195195195195126e+00,-1.771391160897034078e+00,-5.000000000000000000e+00
5.225225225225225145e+00,-1.742712818008036679e+00,-5.000000000000000000e+00
5.255255255255255165e+00,-1.712463010089429583e+00,-5.000000000000000000e+00
5.285285285285285184e+00,-1.680669014449789112e+00,-5.000000000000000000e+00
5.315315315315315203e+00,-1.647359500845705371e+00,-5.000000000000000000e+00
5.345345345345345223e+00,-1.612564505629262124e+00,-5.000000000000000000e+00
5.375375375375375242e+00,-1.576315404663207964e+00,-5.000000000000000000e+00
5.405405405405405261e+00,-1.538644885028245035e+00,-5.000000000000000000e+00
5.435435435435435281e+00,-1.499586915547946209e+00,-5.000000000000000000e+00
5.465465465465465300e+00,-1.459176716157881248e+00,-5.000000000000000000e+00
5.495495495495495319e+00,-1.417450726146568529e+00,-5.000000000000000000e+00
5.525525525525525339e+00,-1.374446571296897623e+00,-5.000000000000000000e+00
5.555555555555555358e+00,-1.330203029957644834e+00,-5.000000000000000000e+00
5.585585585585585378e+00,-1.284759998075682752e+00,-5.000000000000000000e+00
5.615615615615615397e+00,-1.238158453220409738e+00,-5.000000000000000000e+00
5.645645645645645416e+00,-1.190440417632845360e+00,-5.000000000000000000e+00
5.675675675675675436e+00,-1.141648920332706485e+00,-5.000000000000000000e+00
5.705705705705705455e+00,-1.091827958317638458e+00,-5.000000000000000000e+00
5.735735735735735474e+00,-1.041022456889583392e+00,-5.000000000000000000e+00
5.765765765765765494e+00,-9.892782291440677112e-01,-5.000000000000000000e+00
5.795795795795795513e+00,-9.366419346589321959e-01,-5.000000000000000000e+00
5.825825825825825532e+00,-8.831610374197611524e-01,-5.000000000000000000e+00
5.855855855855855552e+00,-8.288837630199484829e-01,-5.000000000000000000e+00
5.885885885885885571e+00,-7.738590551739952250e-01,-5.000000000000000000e+00
5.915915915915915591e+00,-7.181365315832524132e-01,-5.000000000000000000e+00
5.945945945945945610e+00,-6.617664391939060975e-01,-5.000000000000000000e+00
5.975975975975975629e+00,-6.047996088875510212e-01,-5.000000000000000000e+00
6.006006006006005649e+00,-5.472874096452087223e-01,-5.000000000000000000e+00
6.036036036036035668e+00,-4.892817022261226612e-01,-5.000000000000000000e+00
6.066066066066065687e+00,-4.308347924030999643e-01,-5.000000000000000000e+00
6.096096096096095707e+00,-3.719993837965689387e-01,-5.000000000000000000e+00
6.126126126126125726e+00,-3.128285303498829495e-01,-5.000000000000000000e+00
6.156156156156155745e+00,-2.533755884887265997e-01,-5.000000000000000000e+00
6.186186186186185765e+00,-1.936941690077625677e-01,-5.000000000000000000e+00
6.216216216216215784e+00,-1.338380887279051745e-01,-5.000000000000000000e+00
6.246246246246245803e+00,-7.386132196781282355e-02,-5.000000000000000000e+00
6.276276276276275823e+00,-1.381795187335939368e-02,-5.000000000000000000e+00
6.306306306306305842e+00,4.623787835102791816e-02,-5.000000000000000000e+00
6.336336336336335862e+00,1.062520142651874333e-01,-5.000000000000000000e+00
6.366366366366365881e+00,1.661703390261735913e-01,-5.000000000000000000e+00
6.396396396396395900e+00,2.259388221873048219e-01,-5.000000000000000000e+00
6.426426426426426808e+00,2.855035684193066303e-01,-5.000000000000000000e+00
6.456456456456456827e+00,3.448108661096056515e-01,-5.000000000000000000e+00
6.486486486486486847e+00,4.038072357959780478e-01,-5.000000000000000000e+00
6.516516516516516866e+00,4.624394783908414297e-01,-5.000000000000000000e+00
6.546546546546546885e+00,5.206547231527326458e-01,-5.000000000000000000e+00
6.576576576576576905e+00,5.784004753617023598e-01,-5.000000000000000000e+00
6.606606606606606924e+00,6.356246636556378560e-01,-5.000000000000000000e+00
6.636636636636636943e+00,6.922756869848295525e-01,-5.000000000000000000e+00
6.666666666666666963e+00,7.483024611424399231e-01,-5.000000000000000000e+00
6.696696696696696982e+00,8.036544648289175585e-01,5.000000000000000000e+00
6.726726726726727001e+00,8.582817852088181487e-01,5.000000000000000000e+00
6.756756756756757021e+00,9.121351629189514698e-01,5.000000000000000000e+00
6.786786786786787040e+00,9.651660364872706177e-01,5.000000000000000000e+00
6.816816816816817060e+00,1.017326586122447196e+00,5.000000000000000000e+00
6.846846846846847079e+00,1.068569776834648044e+00,5.000000000000000000e+00
6.876876876876877098e+00,1.118849400848628939e+00,5.000000000000000000e+00
6.906906906906907118e+00,1.168120119270899870e+00,5.000000000000000000e+00
6.936936936936937137e+00,1.216337502973388274e+00,5.000000000000000000e+00
6.966966966966967156e+00,1.263458072656737041e+00,5.000000000000000000e+00
6.996996996996997176e+00,1.309439338057107438e+00,5.000000000000000000e+00
7.027027027027027195e+00,1.354239836261133645e+00,5.000000000000000000e+00
7.057057057057057214e+00,1.397819169094481673e+00,5.000000000000000000e+00
7.087087087087087234e+00,1.440138039550292959e+00,5.000000000000000000e+00
7.117117117117117253e+00,1.481158287224669357e+00,5.000000000000000000e+00
7.147147147147147273e+00,1.520842922727241753e+00,5.000000000000000000e+00
7.177177177177177292e+00,1.559156161035796240e+00,5.000000000000000000e+00
7.207207207207207311e+00,1.596063453764878570e+00,5.000000000000000000e+00
7.237237237237237331e+00,1.631531520319279505e+00,5.000000000000000000e+00
7.267267267267267350e+00,1.665528377904311519e+00,5.000000000000000000e+00
7.297297297297297369e+00,1.698023370365811191e+00,5.000000000000000000e+00
7.327327327327327389e+00,1.728987195833864288e+00,5.000000000000000000e+00
7.357357357357357408e+00,1.758391933145326380e+00,5.000000000000000000e+00
7.387387387387387427e+00,1.786211067021310273e+00,5.000000000000000000e+00
7.417417417417417447e+00,1.812419511976939290e+00,5.000000000000000000e+00
7.447447447447447466e+00,1.836993634941805897e+00,5.000000000000000000e+00
