t,Vin,Vout
3.409023402534113956e+00,-4.590966344987510439e-01,5.000000000000000000e+00
3.409054818774811757e+00,-4.592502245129152505e-01,5.000000000000000000e+00
3.409086235015510447e+00,-4.594038214831671074e-01,5.000000000000000000e+00
3.409117651256208692e+00,-4.595574253969934575e-01,5.000000000000000000e+00
3.409149067496906937e+00,-4.597110362418745377e-01,5.000000000000000000e+00
3.409180483737605183e+00,-4.598646540052846454e-01,5.000000000000000000e+00
3.409211899978303428e+00,-4.600182786746946362e-01,5.000000000000000000e+00
3.409243316219002118e+00,-4.601719102375637638e-01,5.000000000000000000e+00
3.409274732459699919e+00,-4.603255486813422337e-01,5.000000000000000000e+00
3.409306148700398609e+00,-4.604791939934814726e-01,5.000000000000000000e+00
3.409337564941096410e+00,-4.606328461614157543e-01,5.000000000000000000e+00
3.409368981181795100e+00,-4.607865051725885674e-01,5.000000000000000000e+00
3.409400397422493345e+00,-4.609401710144143682e-01,5.000000000000000000e+00
3.409431813663191591e+00,-4.610938436743190483e-01,5.000000000000000000e+00
3.409463229903890280e+00,-4.612475231397138997e-01,5.000000000000000000e+00
3.409494646144588081e+00,-4.614012093979983353e-01,5.000000000000000000e+00
3.409526062385286771e+00,-4.615549024365825925e-01,5.000000000000000000e+00
3.409557478625984572e+00,-4.617086022428442127e-01,5.000000000000000000e+00
3.409588894866683262e+00,-4.618623088041785563e-01,5.000000000000000000e+00
3.409620311107381507e+00,-4.620160221079592233e-01,5.000000000000000000e+00
3.409651727348079753e+00,-4.621697421415561502e-01,5.000000000000000000e+00
3.409683143588777998e+00,-4.623234688923347768e-01,5.000000000000000000e+00
3.409714559829476244e+00,-4.624772023476491634e-01,5.000000000000000000e+00
3.409745976070174933e+00,-4.626309424948538696e-01,5.000000000000000000e+00
3.409777392310872735e+00,-4.627846893212864132e-01,5.000000000000000000e+00
3.409808808551571424e+00,-4.629384428142872543e-01,5.000000000000000000e+00
3.409840224792269670e+00,-4.630922029611848623e-01,5.000000000000000000e+00
3.409871641032967915e+00,-4.632459697492973261e-01,5.000000000000000000e+00
3.409903057273666160e+00,-4.633997431659427901e-01,5.000000000000000000e+00
3.409934473514364406e+00,-4.635535231984317939e-01,5.000000000000000000e+00
3.409965889755063095e+00,-4.637073098340645516e-01,5.000000000000000000e+00
3.409997305995760897e+00,-4.638611030601317298e-01,5.000000000000000000e+00
3.410028722236459586e+00,-4.640149028639264372e-01,5.000000000000000000e+00
3.410060138477157832e+00,-4.641687092327237418e-01,5.000000000000000000e+00
3.410091554717856077e+00,-4.643225221538020975e-01,5.000000000000000000e+00
3.410122970958554323e+00,-4.644763416144241930e-01,5.000000000000000000e+00
3.410154387199252568e+00,-4.646301676018530502e-01,5.000000000000000000e+00
3.410185803439951258e+00,-4.647840001033431978e-01,5.000000000000000000e+00
3.410217219680649059e+00,-4.649378391061318450e-01,5.000000000000000000e+00
3.410248635921347748e+00,-4.650916845974708558e-01,5.000000000000000000e+00
3.410280052162045994e+00,-4.652455365645803420e-01,5.000000000000000000e+00
3.410311468402744239e+00,-4.653993949946904074e-01,5.000000000000000000e+00
3.410342884643442485e+00,-4.655532598750222739e-01,5.000000000000000000e+00
3.410374300884140730e+00,-4.657071311927811208e-01,5.000000000000000000e+00
